"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"PTX89SK7","journalArticle","2015","Gile, Krista J.; Handcock, Mark S.","Network model-assisted inference from respondent-driven sampling data","Journal of the Royal Statistical Society: Series A (Statistics in Society)","","1467-985X","10.1111/rssa.12091","http://onlinelibrary.wiley.com/doi/abs/10.1111/rssa.12091","Respondent-driven sampling is a widely used method for sampling hard-to-reach human populations by link tracing over their social networks. Inference from such data requires specialized techniques because the sampling process is both partially beyond the control of the researcher, and partially implicitly defined. Therefore, it is not generally possible to compute the sampling weights for traditional design-based inference directly, and likelihood inference requires modelling the complex sampling process. As an alternative, we introduce a model-assisted approach, resulting in a design-based estimator leveraging a working network model. We derive a new class of estimators for population means and a corresponding bootstrap standard error estimator. We demonstrate improved performance compared with existing estimators, including adjustment for an initial convenience sample. We also apply the method and an extension to the estimation of the prevalence of human immunodeficiency virus in a high-risk population.","2015","2022-12-17 11:52:36","2023-11-25 17:20:30","2022-12-17 11:52:36","619-639","","3","178","","","","","","","","","","en","","","","","Wiley Online Library","","tex.ids= gile15-networka _eprint: https://rss.onlinelibrary.wiley.com/doi/pdf/10.1111/rssa.12091","","/Users/sm38679/Zotero/storage/GUQ9H4ZA/Gile and Handcock - 2015 - Network model-assisted inference from respondent-driven.pdf; /Users/sm38679/Zotero/storage/NCTLDTQS/rssa.html","","_tablet; RDS","Social networks; Network sampling; Hard-to-reach population sampling; Exponential family random graph model; Link tracing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G8WSLG8M","journalArticle","2012","McCreesh, Nicky; Frost, Simon D. W.; Seeley, Janet; Katongole, Joseph; Tarsh, Matilda N.; Ndunguse, Richard; Jichi, Fatima; Lunel, Natasha L.; Maher, Dermot; Johnston, Lisa G.; Sonnenberg, Pam; Copas, Andrew J.; Hayes, Richard J.; White, Richard G.","Evaluation of respondent-driven sampling","Epidemiology","","1044-3983","","https://www.jstor.org/stable/23214188","Background: Respondent-driven sampling is a novel variant of link-tracing sampling for estimating the characteristics of hard-to-reach groups, such as HIV prevalence in sex workers. Despite its use by leading health organizations, the performance of this method in realistic situations is still largely unknown. We evaluated respondent-driven sampling by comparing estimates from a respondent-driven sampling survey with total population data. Methods: Total population data on age, tribe, religion, socioeconomic status, sexual activity, and HIV status were available on a population of 2402 male household heads from an open cohort in rural Uganda. A respondent-driven sampling (RDS) survey was carried out in this population, using current methods of sampling (RDS sample) and statistical inference (RDS estimates). Analyses were carried out for the full RDS sample and then repeated for the first 250 recruits (small sample). Results: We recruited 927 household heads. Full and small RDS samples were largely representative of the total population, but both samples underrepresented men who were younger, of higher socio-economic status, and with unknown sexual activity and HIV status. Respondent-driven sampling statistical inference methods failed to reduce these biases. Only 31%—37% (depending on method and sample size) of RDS estimates were closer to the true population proportions than the RDS sample proportions. Only 50%—74% of respondent-driven sampling bootstrap 95% confidence intervals included the population proportion. Conclusions: Respondent-driven sampling produced a generally representative sample of this well-connected nonhidden population. However, current respondent-driven sampling inference methods failed to reduce bias when it occurred. Whether the data required to remove bias and measure precision can be collected in a respondent-driven sampling survey is unresolved. Respondent-driven sampling should be regarded as a (potentially superior) form of convenience sampling method, and caution is required when interpreting findings based on the sampling method.","2012","2023-04-25 11:34:42","2023-11-25 17:21:58","2023-04-25 11:34:42","138-147","","1","23","","","","","","","","","","","","","","","JSTOR","","tex.ids= mccr12-evaluationa publisher: Lippincott Williams & Wilkins","","/Users/sm38679/Zotero/storage/RGQ6JTIC/McCreesh et al - 2012 - Evaluation of Respondent-driven Sampling.pdf","","RDS; Hidden population sampling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LXWDSGEM","journalArticle","2018","Gile, Krista J.; Beaudry, Isabelle S.; Handcock, Mark S.; Ott, Miles Q.","Methods for inference from respondent-driven sampling data","Annual Review of Statistics and Its Application","","2326-8298, 2326-831X","10.1146/annurev-statistics-031017-100704","https://www.annualreviews.org/doi/10.1146/annurev-statistics-031017-100704","Respondent-driven sampling is a commonly used method for sampling from hard-to-reach human populations connected by an underlying social network of relations. Beginning with a convenience sample, participants pass coupons to invite their contacts to join the sample. Although the method is often effective at attaining large and varied samples, its reliance on convenience samples, social network contacts, and participant decisions makes it subject to a large number of statistical concerns. This article reviews inferential methods available for data collected by respondent-driven sampling.","2018-03-07","2023-04-25 11:48:00","2023-11-25 17:21:14","2023-04-25 11:48:00","65-93","","1","5","","Annu. Rev. Stat. Appl.","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: gile18-methods tex.ids= gile18-methodsa","","/Users/sm38679/Zotero/storage/HZHL4KJN/Gile et al - 2018 - Methods for Inference from Respondent-Driven Sampling.pdf","","_tablet; inference; RDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HUZ9M32A","journalArticle","2017","Vincent, Kyle; Thompson, Steve","Estimating population size with link-tracing sampling","Journal of the American Statistical Association","","0162-1459","10.1080/01621459.2016.1212712","https://doi.org/10.1080/01621459.2016.1212712","We present a new design and method for estimating the size of a hidden population best reached through a link-tracing design. The design is based on selecting initial samples at random and then adaptively tracing links to add new members. The inferential procedure involves the Rao–Blackwell theorem applied to a sufficient statistic markedly different from the usual one that arises in sampling from a finite population. The strategy involves a combination of link-tracing and mark-recapture estimation methods. An empirical application is described. The result demonstrates that the strategy can efficiently incorporate adaptively selected members of the sample into the inferential procedure. Supplementary materials for this article are available online.","2017-07-03","2023-06-08 17:53:53","2023-11-25 17:22:40","2023-06-08 17:53:53","1286-1295","","519","112","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","tex.ids= vinc17-estimatinga _eprint: https://doi.org/10.1080/01621459.2016.1212712 publisher: Taylor & Francis","<p><b>Extracted Annotations (27/10/2023, 16:05:40)</b></p> <p>""link-tracing design"" (<a href=""zotero://open-pdf/library/items/U33ZPS9U?page=2"">Vincent and Thompson 2017:1287</a>)</p><p>""design-based"" (<a href=""zotero://open-pdf/library/items/U33ZPS9U?page=2"">Vincent and Thompson 2017:1287</a>)</p><p>""inference"" (<a href=""zotero://open-pdf/library/items/U33ZPS9U?page=2"">Vincent and Thompson 2017:1287</a>)</p><p>""w ij"" (<a href=""zotero://open-pdf/library/items/U33ZPS9U?page=3"">Vincent and Thompson 2017:1288</a>)</p><p>""strength of the relationship"" (<a href=""zotero://open-pdf/library/items/U33ZPS9U?page=3"">Vincent and Thompson 2017:1288</a>)</p><p>""Step 0"" (<a href=""zotero://open-pdf/library/items/U33ZPS9U?page=3"">Vincent and Thompson 2017:1288</a>)</p><p>""Step t"" (<a href=""zotero://open-pdf/library/items/U33ZPS9U?page=3"">Vincent and Thompson 2017:1288</a>)</p><p>""M t"" (<a href=""zotero://open-pdf/library/items/U33ZPS9U?page=3"">Vincent and Thompson 2017:1288</a>)</p><p>""s k,t"" (<a href=""zotero://open-pdf/library/items/U33ZPS9U?page=3"">Vincent and Thompson 2017:1288</a>)</p><p>""order within samples of subsequently selected units"" (<a href=""zotero://open-pdf/library/items/U33ZPS9U?page=4"">Vincent and Thompson 2017:1289</a>)</p><p>""sample selection procedure"" (<a href=""zotero://open-pdf/library/items/U33ZPS9U?page=4"">Vincent and Thompson 2017:1289</a>)</p><p>""Specifically"" (<a href=""zotero://open-pdf/library/items/U33ZPS9U?page=4"">Vincent and Thompson 2017:1289</a>)</p><p>""data"" (<a href=""zotero://open-pdf/library/items/U33ZPS9U?page=4"">Vincent and Thompson 2017:1289</a>)</p>","/Users/sm38679/Zotero/storage/U33ZPS9U/Vincent and Thompson - 2017 - Estimating Population Size With Link-Tracing Sampling.pdf","","_tablet; Hidden population sampling; Population size estimation","Design-based inference; Adaptive sampling; Mark-recapture; Rao–Blackwell method; Unknown population size","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M93TY77P","journalArticle","2006","Abdul-Quader, A.S.; Heckathorn, D.D.; McKnight, C.; Bramson, H.; Nemeth, C.; Sabin, K.; Gallagher, K.; Jarlais, D.C.","Effectiveness of respondent-driven sampling for recruiting drug users in New York City: findings from a pilot study","Journal of Urban Health","","","","","","2006","2023-11-25 17:15:08","2023-11-25 17:19:34","","459–76","","3","83","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PZ6AZXLW","report","2009","Bernhardt, A.; Milkman, R.Theodore; N.","Broken laws, unprotected workers: Violations of employment and labor laws in america's cities","","","","","","","2009","2023-11-25 17:15:09","2023-11-25 17:19:45","","","","","","","","","","","","","","","en","","UCLA IRLE Report.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5H44YIK3","journalArticle","2006","Brown, J.S.; Schonfeld, T.L.; Gordon, B.G.","You may have already won...”: An examination of the use of lottery payments in research","IRB: Ethics & Human Research","","","","","","2006","2023-11-25 17:15:09","2023-11-25 17:19:58","","12–16","","1","28","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S3W7WYSH","journalArticle","2010","Brunovskis, A.; Surtees, R.","Untold stories: biases and selection effects in research with victims of trafficking for sexual exploitation","International Migration","","","","","","2010","2023-11-25 17:15:09","2023-11-25 17:19:58","","1–37","","4","48","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8LJCG3D6","journalArticle","2003","Cobanoglu, C.; Cobanoglu, N.","The effect of incentives in web surveys: application and ethical considerations","International Journal of Market Research","","","","","","2003","2023-11-25 17:15:09","2023-11-25 17:19:57","","1–13","","4","45","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BMYFRTLU","journalArticle","2009","DeJong, J.; Mahfoud, Z.; Khoury, D.; Barbir, F.; Afifi, R.A.","Ethical considerations in HIV/AIDS biobehavioral surveys that use respondent-driven sampling: illustrations from Lebanon","American Journal of Public Health","","","","","","2009","2023-11-25 17:15:09","2023-11-25 17:19:34","","1562–1567","","9","99","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
