start	end	text
0	29000	I'm sorry, I'm late, I'm trying to do too much today and I'm just doing some admin.
29000	36000	Yeah, maybe I might have overreacted a little bit.
36000	39000	The weekend was productive but I'm still stuck.
39000	51000	There's three things and the biggest is the question.
51000	59000	We have three indicators at the individual level of you experience exploitation.
59000	67000	There's this Q36, 80, and this very cool category index that you and Selim cooked up.
67000	68000	That's great.
68000	78000	We can use those variables to estimate prevalence of exploitation based on survey response,
78000	85000	based on individuals working in domestic labor in the UK in the last year.
85000	89000	That's these RDS methods, which we can do.
89000	90000	That's great.
90000	99000	That technique, that class of estimation, basically the whole trick is they're taking the sample as the sample
99000	104000	and then the difficulties that RDS tries to fix up is the non-random sampling.
104000	108000	It does it in several really creative ways and super-duper and we can do all that.
108000	109000	Awesome.
109000	110000	Great.
110000	111000	Then I turn to insum.
111000	115000	The strategy behind insum is much different.
115000	121000	The information that insum uses isn't have you experienced exploitation.
121000	126000	It's how many people do you know that have experienced exploitation?
126000	133000	In that setting, what's really important is the number of people respondents know.
133000	141000	It's not very important if a respondent is in the hidden population or not, has experienced
141000	144000	exploitation or not, but it's important.
144000	150000	The two things are how many people do you know, period, and that turns out that's hard to estimate,
150000	151000	but there's ways.
151000	155000	The one that I like is called the known population method.
155000	158000	Then two, how many people do you know in the hidden population?
158000	160000	A few things.
160000	163000	First, thank you very much for making the time to talk with me.
163000	164000	I appreciate it.
164000	166000	I'm sorry for being a little bit spastic.
166000	170000	I think both of our work weeks are turning hellish.
170000	172000	Anyway, I appreciate it.
172000	173000	A few issues here.
173000	182000	One is, can we measure the same notion of exploitation using these two methods?
182000	186000	I'm afraid, on Friday, my answer was no.
186000	189000	I don't think we can because of the questions that are asked.
189000	194000	The first type asks questions about, and there's only this morning that I had the clarity.
194000	198000	There's different types of questions in the survey, but for this discussion, there's two
198000	199000	relevant types.
199000	208000	One is about your own experience at work, and the other is people you know.
208000	210000	What we need is some overlap.
210000	215000	We need there to be something that some, well, let me put it differently.
215000	220000	If we want to use the two methods in the same paper and say that we're studying exploitation
220000	223000	in a consistent way, then we need some sort of overlap.
223000	225000	I'm having trouble finding that.
225000	233000	The only one I've found so far is NRM, natural referral mechanisms.
233000	238000	We know if a member has been referred, if a respondent's been referred, and we know how
238000	242000	many they know in that population.
242000	244000	Now, things get even weirder.
244000	250000	One, hopefully there's more overlap because if that's the only one, that's a very, very
250000	252000	clean measure of exploitation.
252000	256000	We certainly, it's a high bar.
256000	260000	You've picked it as one of the endpoints on the individual level, and I think all that's
260000	263000	great, but then things get even weirder.
263000	266000	One, I hope that there's more overlap than just that.
266000	267000	For a number of reasons.
267000	268000	One, it's a very, very high bar.
268000	274000	Two, we're sort of using that group to do, it's wearing lots of hats because we're using
274000	279000	it as the known population method, but then it's just pretty weird because we're saying
279000	286000	like, okay, we're going to use this group to estimate individuals' degrees, the networks,
286000	290000	how many people they know, but then we're also going to use it to try to estimate the
290000	292000	hidden population.
292000	293000	Wait a second.
293000	295000	It can't be both, right?
