numRef,NonEmptyCount,referedFreq,q13,suspicious_variable,network.size.variable,network.size,rowNum,ridc,recruiter.id,id,node_1_recruiter,node_2_id_respondent_recruit,recruiter_id,composite_risk,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,sum_categories,whether_exploitation,wave,q1,q2,q3,q4,q5,q6,q7,q8,q8_a,q9,q10,q11,q12,q14,q15,q16,q17,q18_0,q18_1,q18_2,q18_3,q18_4,q18_5,q18_6,q18_a,q19,q20,q21,q22,q23,q24,q25,x4h_alin_sa_mga_sumusunod_na_elemento_ang_mahalaga_sa_iyong_kasiyahan,q26,q26_a,q26_b,q26_c,q26_d,q26_e,q26_f,q26_g,q27,q28,q29,q30,q31,q32,q33,q34,q34_a,q35,q36,q37,q38,q39,q40,q41,q42,q43,q44,q44_a,q44_b,q45,q46,q47,q48,q48_a,q49,q50,q51,q51_a,q52,q53,q54,q55_0,q55_1,q55_2,q55_3,q55_4,q55_5,q55_6,q55_7,q55_8,q55_9,q56,q57_0,q57_1,q57_2,q57_3,q57_4,q58,q58_a,q59,q59_a,q60,q61,q62,q63,q64,q65,q66,q67_0,q67_1,q67_2,q67_3,q67_4,q67_5,q67_6,q67_7,q67_8,q67_9,q67_10,q67_11,q67_12,q67_a,q68,q69,q70,q71,q72,q73,q74,q75,q76,q77,q78,q79,q80,q81,q82_92_0,q82_92_1,q82_92_2,q82_92_3,q82_92_4,q82_5,q82_6,q82_7,q82_8,q82_9,q82_10,q82_11,q82_12,q82_13,q82_14,q82_15,q82_16,q82_17,q82_18,q82_19,q82_a,q83_88,q84_89,q85_90_93_96,q86,q87_95,q98,q99,q100,q101,q102,q103,q103_a,q104,q105,q106,q107,q108,q109,q110,q111,q112,q113,q114,q115,q116,q117,q118
0,0,0,0,0,0,0,1,seed,-1,16,,16,-1,0.21,0.045,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.03,0,0,0.21,1,1,employee,,,,0,0,2,0,,1,1,6,0,0,0,0,0,1,0,0,0,0,0,0,,0,3,0,0,1,2,0,,1,1,0,1,1,1,0,0,1,1,3,0,0,2,0,1,,0,4,1,0,1,1,0,3,0,1,1,1,1,3,3,3,0,0,0,0,1,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,1,,1,1,2,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,1,3,0,2,0,0,2,1,0,1,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,Seguridad ,Transporte ,Si,,0.0,,,,,,,,,,,,,,,,
1,1,0,0,1,1,1,2,94,94,32,94.0,32,94,0.3075,0.0,0.0,0.045,0.0,0.0,0.09,0.0,0.0,0.09,0.0225,0.06,0,0,0.3075,1,2,employee,,,,0,1,1,1,Filipino,1,1,5,0,0,0,6,1,1,1,0,1,1,0,0,,2,3,0,2,2,2,0,,2,1,0,0,2,0,0,0,2,0,3,0,3,3,0,2,,0,4,1,0,0,1,1,3,0,1,1,1,1,2,2,3,0,0,0,1,1,1,0,0.0,1,1,1,1,1,1,1,0,0,0,0.0,0,0,0,0,0,0,,0,,0,0,2,3,0,0,3,1,0,1,0,1,0,0,0,1,0,1,0,0,,0,4,3,0,2,0,0,3,0,0,1,0,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,2.0,1.0,,0.0,,,,,,,,,,,,,,
6,6,0,0,1,6,6,3,seed,-1,54,,54,-1,0.615,0.09,0.0,0.09,0.0,0.0,0.09,0.09,0.09,0.09,0.045,0.03,0,1,0.615,1,1,agency worker,,,,0,2,1,1,Filipino,2,1,4,0,0,0,3,0,1,0,0,0,0,0,0,,0,1,0,0,1,2,0,,1,2,0,0,0,1,0,0,0,1,1,2,1,2,0,1,I'm good,0,4,1,0,0,0,0,1,0,1,1,1,1,2,2,2,80,0,1,0,1,2,0,1.0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,Private ,2,,0,1,2,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,Generaly fearful,0,2,2,0,1,0,0,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0,Helping processing document ,0,Good,,,Treatly nice,1.0,0.0,,0.0,,,,,,,,,,,,,,
0,0,0,0,0,0,0,4,seed,-1,72,,72,-1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0,0,0.09,1,1,self-employed,,,,0,2,0,1,Ecuatoriana,3,1,4,3,0,2,1,0,1,1,0,0,0,0,0,,4,3,0,1,4,0,0,,0,4,0,0,0,0,0,0,2,3,3,0,1,3,0,2,,0,4,0,0,1,0,1,3,0,1,1,1,1,0,3,3,0,0,0,1,1,0,0,0.0,1,1,1,1,1,1,1,1,1,1,0.0,0,0,0,0,0,0,,1,,1,0,3,3,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,El dinero ,"La forma de aplicar el tiempo de trabajo, cuando las casas son muy grandes y lejos, y el mal pago por hora",No lo se ,,4.0,3.0,,1.0,,,,,,,,,,,,,,
0,0,0,0,0,0,0,5,seed,-1,76,,76,-1,0.36,0.045,0.0,0.045,0.09,0.0,0.09,0.0,0.09,0.0,0.0,0.0,1,0,0.36,1,1,self-employed,,,,0,0,2,1,Dominicana ,3,1,4,1,0,0,1,0,1,1,0,0,1,1,0,,2,2,0,2,1,1,0,,0,1,1,1,0,1,1,1,1,1,2,0,0,2,0,1,,0,3,1,0,1,1,1,2,0,1,1,1,1,0,1,3,0,0,2,1,1,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,0,,3,0,3,3,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,,0,3,3,0,0,0,0,3,0,0,1,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Que me trata bien con confianza . ,Que aveces no salgo ala hora que tengo que salir porque me entretengo limpiando lo q no me corresponde .,,,,1.0,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,6,96,96,98,96.0,98,96,0.09,0.045,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.09,1,2,self-employed,,,,0,4,0,1,Filipino,3,1,6,0,0,4,3,1,1,1,0,1,0,0,0,,1,0,0,2,1,2,0,,1,0,0,0,0,0,0,0,2,0,2,0,0,2,0,2,,0,4,1,15,1,2,1,3,0,1,1,1,1,0,3,3,,0,0,1,1,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,0,,0,0,3,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,3,0,0,0,0,3,0,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Freedom,,,,0.0,0.0,,1.0,,,,,,,,,,,,,,
2,2,0,1,1,2,2,7,60,60,5,60.0,5,60,0.48,0.045,0.0,0.09,0.0,0.0,0.09,0.0,0.09,0.09,0.045,0.03,1,1,0.48,1,2,employee,,,,0,1,3,1,Filipino,2,1,6,0,0,1,1,0,1,1,0,1,0,0,0,,1,0,0,0,2,1,0,,1,1,0,1,3,1,1,0,1,0,2,1,2,1,0,1,Mahirap pag-trabaho Wla sa kontrata pinirmahan mo.,0,3,2,10.85,0,1,1,2,0,1,1,1,1,2,0,0,0,0,0,1,0,1,0,0.0,1,1,1,1,1,1,1,1,1,1,0.0,0,0,0,0,0,1,,1,,2,0,2,2,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,4,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,0.0,0.0,Kalayaan,0,,Dog walking,Car cleaning,"No Car washing, No cooking,",Care giver,0.0,3.0,,0.0,,,,,,,,,,,,,,
1,0,0,1,0,1,1,8,seed,-1,7,,7,-1,0.705,0.09,0.09,0.045,0.0,0.09,0.09,0.09,0.0,0.09,0.09,0.03,1,0,0.705,1,1,employee,,,,0,1,3,0,Filipino,2,1,6,0,1,0,1,1,1,1,0,0,1,0,0,,1,0,0,0,1,1,0,,0,1,0,0,0,1,0,0,0,0,2,2,1,1,0,1,Wala,0,0,1,10.45,0,1,1,3,0,0,0,0,0,0,0,0,,0,1,0,0,1,0,0.0,1,0,0,0,1,0,1,0,0,0,0.0,0,0,0,0,0,0,,0,,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,,0,4,0,0,2,1,0,4,2,0,0,0,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1.0,4.0,,1.0,,,,,,,,,,,,,,
1,0,1,1,0,1,1,9,seed,-1,9,,9,-1,0.2925,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.09,0.0,0.0225,0.0,0,1,0.2925,1,1,employee,,,,0,4,0,1,Filipino,3,1,5,0,1,4,5,1,1,0,0,0,0,0,0,,0,0,1,0,0,4,1,,1,1,1,1,1,1,0,1,0,0,2,1,1,2,0,1,,0,4,1,10,1,0,1,2,0,1,0,1,1,3,3,3,0,0,0,0,1,1,0,0.0,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,0,0,2,,0,,0,0,3,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,3,0,3,0,0,0,0,0,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0,0,,Relasyon sa amo,Wala,Masaya,Wala na,0.0,0.0,,0.0,,,,,,,,,,,,,,
10,10,1,1,1,10,10,10,seed,-1,13,,13,-1,0.1875,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.09,0.0,0.0225,0.03,0,0,0.1875,1,1,employee,,,,0,4,3,0,Filipino,3,1,6,0,1,4,1,1,1,0,0,0,0,0,0,,0,0,1,0,0,3,1,,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,0,"Minsan ang amo amusado s domestic work, tingin nla s iba mababa lng,",1,4,1,11,1,1,1,2,1,1,1,1,1,3,3,3,1,1,0,1,1,1,0,0.0,1,1,1,1,1,1,1,1,1,1,0.0,0,0,0,0,0,0,Isangpribadong individual,2,Sa pammagitan ng isang ahensya na nkabase sa uk,0,3,3,3,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,Wala akong problema sa trbho,1,3,3,1,3,1,1,3,0,1,1,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Ang loyer,,,Maayos na trabho,Wla kng trbho,Masaya ako,Lubos akong my tumurulong s akin,0.0,0.0,,0.0,,,,,,,,,,,,,,
