"Bootstrap Method","Outcome","Point Estimate","95% CI Lower","95% CI Upper","Prevalence (%)"
"chain","Access to Help",19885.249030321,9065.94287777805,46394.6841782785,"2.03% (0.93% - 4.73%)"
"neighboot","Access to Help",19885.249030321,6539.87224972065,47818.237565012,"2.03% (0.67% - 4.88%)"
"ss","Access to Help",19885.249030321,9724.90742691401,45652.0759817404,"2.03% (0.99% - 4.66%)"
"tree","Access to Help",19885.249030321,9384.44053691104,44972.2700819473,"2.03% (0.96% - 4.59%)"
"chain","Document Withholding",10614.736661873,4208.01099731151,27779.5570356529,"1.08% (0.43% - 2.83%)"
"neighboot","Document Withholding",10614.736661873,2905.12254552316,30651.8183885211,"1.08% (0.30% - 3.13%)"
"ss","Document Withholding",10614.736661873,4043.84916038272,27114.0320157148,"1.08% (0.41% - 2.77%)"
"tree","Document Withholding",10614.736661873,4442.18476249083,26596.7879538618,"1.08% (0.45% - 2.71%)"
"chain","Excessive Hours",29248.4665224534,20279.8428540512,52819.4756481149,"2.98% (2.07% - 5.39%)"
"neighboot","Excessive Hours",29248.4665224534,18064.257523335,53994.2964753916,"2.98% (1.84% - 5.51%)"
"ss","Excessive Hours",29248.4665224534,20828.3213116045,51614.8367128262,"2.98% (2.13% - 5.27%)"
"tree","Excessive Hours",29248.4665224534,20516.3305351814,52876.1189638148,"2.98% (2.09% - 5.40%)"
"chain","Pay Issues",28182.3576000819,19510.4542171884,49813.1559805393,"2.88% (1.99% - 5.08%)"
"neighboot","Pay Issues",28182.3576000819,18621.7843889883,55708.7783472613,"2.88% (1.90% - 5.68%)"
"ss","Pay Issues",28182.3576000819,20207.082776324,48369.2120536125,"2.88% (2.06% - 4.94%)"
"tree","Pay Issues",28182.3576000819,20147.5275986055,49462.9490328984,"2.88% (2.06% - 5.05%)"
"chain","Threats/Abuse",26328.2551263923,18812.5070711549,47540.6479596238,"2.69% (1.92% - 4.85%)"
"neighboot","Threats/Abuse",26328.2551263923,18179.4354739432,57424.3545319876,"2.69% (1.86% - 5.86%)"
"ss","Threats/Abuse",26328.2551263923,18859.2400516207,44641.3858497498,"2.69% (1.92% - 4.56%)"
"tree","Threats/Abuse",26328.2551263923,18678.407503833,46053.2285647057,"2.69% (1.91% - 4.70%)"
