"Bootstrap","Weight","Pop Size","NSUM Method","Outcome","Estimate (95% CI)"
"chain","SS",980000,"MBSU (Conservative)","Access to Help","2.77% (1.26% - 6.47%)"
"chain","SS",980000,"MBSU (Moderate)","Access to Help","2.03% (0.93% - 4.73%)"
"chain","SS",980000,"MBSU (No Adjustment)","Access to Help","1.55% (0.71% - 3.62%)"
"chain","SS",1740000,"MBSU (Conservative)","Access to Help","2.77% (1.26% - 6.47%)"
"chain","SS",1740000,"MBSU (Moderate)","Access to Help","2.03% (0.93% - 4.73%)"
"chain","SS",1740000,"MBSU (No Adjustment)","Access to Help","1.55% (0.71% - 3.62%)"
"chain","VH",980000,"MBSU (Conservative)","Access to Help","2.77% (1.26% - 6.47%)"
"chain","VH",980000,"MBSU (Moderate)","Access to Help","2.03% (0.93% - 4.73%)"
"chain","VH",980000,"MBSU (No Adjustment)","Access to Help","1.55% (0.71% - 3.62%)"
"chain","VH",1740000,"MBSU (Conservative)","Access to Help","2.77% (1.26% - 6.47%)"
"chain","VH",1740000,"MBSU (Moderate)","Access to Help","2.03% (0.93% - 4.73%)"
"chain","VH",1740000,"MBSU (No Adjustment)","Access to Help","1.55% (0.71% - 3.62%)"
"neighboot","SS",980000,"MBSU (Conservative)","Access to Help","2.77% (0.91% - 6.67%)"
"neighboot","SS",980000,"MBSU (Moderate)","Access to Help","2.03% (0.67% - 4.88%)"
"neighboot","SS",980000,"MBSU (No Adjustment)","Access to Help","1.55% (0.51% - 3.73%)"
"neighboot","SS",1740000,"MBSU (Conservative)","Access to Help","2.77% (0.91% - 6.67%)"
"neighboot","SS",1740000,"MBSU (Moderate)","Access to Help","2.03% (0.67% - 4.88%)"
"neighboot","SS",1740000,"MBSU (No Adjustment)","Access to Help","1.55% (0.51% - 3.73%)"
"neighboot","VH",980000,"MBSU (Conservative)","Access to Help","2.77% (0.91% - 6.67%)"
"neighboot","VH",980000,"MBSU (Moderate)","Access to Help","2.03% (0.67% - 4.88%)"
"neighboot","VH",980000,"MBSU (No Adjustment)","Access to Help","1.55% (0.51% - 3.73%)"
"neighboot","VH",1740000,"MBSU (Conservative)","Access to Help","2.77% (0.91% - 6.67%)"
"neighboot","VH",1740000,"MBSU (Moderate)","Access to Help","2.03% (0.67% - 4.88%)"
"neighboot","VH",1740000,"MBSU (No Adjustment)","Access to Help","1.55% (0.51% - 3.73%)"
"ss","SS",980000,"MBSU (Conservative)","Access to Help","2.77% (1.36% - 6.36%)"
"ss","SS",980000,"MBSU (Moderate)","Access to Help","2.03% (0.99% - 4.66%)"
"ss","SS",980000,"MBSU (No Adjustment)","Access to Help","1.55% (0.76% - 3.56%)"
"ss","SS",1740000,"MBSU (Conservative)","Access to Help","2.77% (1.36% - 6.36%)"
"ss","SS",1740000,"MBSU (Moderate)","Access to Help","2.03% (0.99% - 4.66%)"
"ss","SS",1740000,"MBSU (No Adjustment)","Access to Help","1.55% (0.76% - 3.56%)"
"ss","VH",980000,"MBSU (Conservative)","Access to Help","2.77% (1.36% - 6.36%)"
"ss","VH",980000,"MBSU (Moderate)","Access to Help","2.03% (0.99% - 4.66%)"
"ss","VH",980000,"MBSU (No Adjustment)","Access to Help","1.55% (0.76% - 3.56%)"
"ss","VH",1740000,"MBSU (Conservative)","Access to Help","2.77% (1.36% - 6.36%)"
"ss","VH",1740000,"MBSU (Moderate)","Access to Help","2.03% (0.99% - 4.66%)"
"ss","VH",1740000,"MBSU (No Adjustment)","Access to Help","1.55% (0.76% - 3.56%)"
"tree","SS",980000,"MBSU (Conservative)","Access to Help","2.77% (1.31% - 6.27%)"
"tree","SS",980000,"MBSU (Moderate)","Access to Help","2.03% (0.96% - 4.59%)"
"tree","SS",980000,"MBSU (No Adjustment)","Access to Help","1.55% (0.73% - 3.51%)"
"tree","SS",1740000,"MBSU (Conservative)","Access to Help","2.77% (1.31% - 6.27%)"
"tree","SS",1740000,"MBSU (Moderate)","Access to Help","2.03% (0.96% - 4.59%)"
"tree","SS",1740000,"MBSU (No Adjustment)","Access to Help","1.55% (0.73% - 3.51%)"
"tree","VH",980000,"MBSU (Conservative)","Access to Help","2.77% (1.31% - 6.27%)"
"tree","VH",980000,"MBSU (Moderate)","Access to Help","2.03% (0.96% - 4.59%)"
"tree","VH",980000,"MBSU (No Adjustment)","Access to Help","1.55% (0.73% - 3.51%)"
"tree","VH",1740000,"MBSU (Conservative)","Access to Help","2.77% (1.31% - 6.27%)"
"tree","VH",1740000,"MBSU (Moderate)","Access to Help","2.03% (0.96% - 4.59%)"
"tree","VH",1740000,"MBSU (No Adjustment)","Access to Help","1.55% (0.73% - 3.51%)"
"chain","SS",980000,"MBSU (Conservative)","Document Withholding","1.48% (0.59% - 3.87%)"
"chain","SS",980000,"MBSU (Moderate)","Document Withholding","1.08% (0.43% - 2.83%)"
"chain","SS",980000,"MBSU (No Adjustment)","Document Withholding","0.83% (0.33% - 2.17%)"
"chain","SS",1740000,"MBSU (Conservative)","Document Withholding","1.48% (0.59% - 3.87%)"
"chain","SS",1740000,"MBSU (Moderate)","Document Withholding","1.08% (0.43% - 2.83%)"
"chain","SS",1740000,"MBSU (No Adjustment)","Document Withholding","0.83% (0.33% - 2.17%)"
"chain","VH",980000,"MBSU (Conservative)","Document Withholding","1.48% (0.59% - 3.87%)"
"chain","VH",980000,"MBSU (Moderate)","Document Withholding","1.08% (0.43% - 2.83%)"
"chain","VH",980000,"MBSU (No Adjustment)","Document Withholding","0.83% (0.33% - 2.17%)"
"chain","VH",1740000,"MBSU (Conservative)","Document Withholding","1.48% (0.59% - 3.87%)"
"chain","VH",1740000,"MBSU (Moderate)","Document Withholding","1.08% (0.43% - 2.83%)"
"chain","VH",1740000,"MBSU (No Adjustment)","Document Withholding","0.83% (0.33% - 2.17%)"
"neighboot","SS",980000,"MBSU (Conservative)","Document Withholding","1.48% (0.40% - 4.27%)"
"neighboot","SS",980000,"MBSU (Moderate)","Document Withholding","1.08% (0.30% - 3.13%)"
"neighboot","SS",980000,"MBSU (No Adjustment)","Document Withholding","0.83% (0.23% - 2.39%)"
"neighboot","SS",1740000,"MBSU (Conservative)","Document Withholding","1.48% (0.40% - 4.27%)"
"neighboot","SS",1740000,"MBSU (Moderate)","Document Withholding","1.08% (0.30% - 3.13%)"
"neighboot","SS",1740000,"MBSU (No Adjustment)","Document Withholding","0.83% (0.23% - 2.39%)"
"neighboot","VH",980000,"MBSU (Conservative)","Document Withholding","1.48% (0.40% - 4.27%)"
"neighboot","VH",980000,"MBSU (Moderate)","Document Withholding","1.08% (0.30% - 3.13%)"
"neighboot","VH",980000,"MBSU (No Adjustment)","Document Withholding","0.83% (0.23% - 2.39%)"
"neighboot","VH",1740000,"MBSU (Conservative)","Document Withholding","1.48% (0.40% - 4.27%)"
"neighboot","VH",1740000,"MBSU (Moderate)","Document Withholding","1.08% (0.30% - 3.13%)"
"neighboot","VH",1740000,"MBSU (No Adjustment)","Document Withholding","0.83% (0.23% - 2.39%)"
"ss","SS",980000,"MBSU (Conservative)","Document Withholding","1.48% (0.56% - 3.78%)"
