"indicator","method","original_estimate","ci_lower","ci_upper","bootstrap_se","n_bootstrap","confidence_level","population_size"
"document_withholding_rds","RDS_I",0.506563743823552,0.161730526736846,1,0.189446167899247,1000,0.95,980000
"document_withholding_rds","RDS_II",0.353805737579289,0.210877764564116,0.498030293857564,0.0743143577976982,1000,0.95,980000
"document_withholding_rds","RDS_SS",0.353805737579289,0.210877764564116,0.498030293857565,0.0743143577976982,1000,0.95,980000
"pay_issues_rds","RDS_I",0.611419567007297,0.348040609775482,0.873838691284993,0.13408877212267,1000,0.95,980000
"pay_issues_rds","RDS_II",0.515739488409487,0.365202699078869,0.654763786078354,0.0754822070890209,1000,0.95,980000
"pay_issues_rds","RDS_SS",0.515739488409487,0.365202699078868,0.654763786078354,0.0754822070890209,1000,0.95,980000
"threats_abuse_rds","RDS_I",0.648881288214222,0.38187770404976,0.919724079493248,0.136800318537535,1000,0.95,980000
"threats_abuse_rds","RDS_II",0.568627503703962,0.423381934867681,0.721061942771896,0.0762245546256405,1000,0.95,980000
"threats_abuse_rds","RDS_SS",0.568627503703963,0.423381934867682,0.721061942771897,0.0762245546256405,1000,0.95,980000
"excessive_hours_rds","RDS_I",0.929998573403045,0.768535076269712,1,0.0741350116925665,1000,0.95,980000
"excessive_hours_rds","RDS_II",0.842306647772648,0.72243868462621,0.935584257757037,0.0531870809622868,1000,0.95,980000
"excessive_hours_rds","RDS_SS",0.842306647772648,0.722438684626209,0.935584257757037,0.0531870809622868,1000,0.95,980000
"access_to_help_rds","RDS_I",0.589376370079844,0,0.832335421700958,0.163837682482786,1000,0.95,980000
"access_to_help_rds","RDS_II",0.60552192934103,0.451805707913045,0.741179038851357,0.0741023322042468,1000,0.95,980000
"access_to_help_rds","RDS_SS",0.605521929341031,0.451805707913044,0.741179038851357,0.0741023322042469,1000,0.95,980000
"composite_risk","RDS_I",0.396779290813677,0.309713392689352,0.663197458791209,0.0850018710991277,1000,0.95,980000
"composite_risk","RDS_II",0.369735183477234,0.30909677548331,0.440190357794735,0.0327738174157048,1000,0.95,980000
"composite_risk","RDS_SS",0.369735183477235,0.30909677548331,0.440190357794734,0.0327738174157048,1000,0.95,980000
"whether_exploitation","RDS_I",1,1,1,0,1000,0.95,980000
"whether_exploitation","RDS_II",0.977413222407159,0.936518247271887,1,0.017466178912987,1000,0.95,980000
"whether_exploitation","RDS_SS",0.977413222407159,0.936518247271887,1,0.017466178912987,1000,0.95,980000
