"config_id","method","variable","population_size","estimate","std_error","ci_lower","ci_upper","n_observations"
"RDS_I_document_withholding_rds_50000","RDS_I","document_withholding_rds",50000,0.494048070335575,NA,NA,NA,85
"RDS_II_document_withholding_rds_50000","RDS_II","document_withholding_rds",50000,0.342444965586162,NA,NA,NA,85
"RDS_SS_document_withholding_rds_50000","RDS_SS","document_withholding_rds",50000,0.342444965586162,NA,NA,NA,85
"RDS_I_document_withholding_rds_1e+05","RDS_I","document_withholding_rds",1e+05,0.494048070335575,NA,NA,NA,85
"RDS_II_document_withholding_rds_1e+05","RDS_II","document_withholding_rds",1e+05,0.342444965586162,NA,NA,NA,85
"RDS_SS_document_withholding_rds_1e+05","RDS_SS","document_withholding_rds",1e+05,0.342444965586162,NA,NA,NA,85
"RDS_I_document_withholding_rds_980000","RDS_I","document_withholding_rds",980000,0.494048070335575,NA,NA,NA,85
"RDS_II_document_withholding_rds_980000","RDS_II","document_withholding_rds",980000,0.342444965586162,NA,NA,NA,85
"RDS_SS_document_withholding_rds_980000","RDS_SS","document_withholding_rds",980000,0.342444965586162,NA,NA,NA,85
"RDS_I_document_withholding_rds_1740000","RDS_I","document_withholding_rds",1740000,0.494048070335575,NA,NA,NA,85
"RDS_II_document_withholding_rds_1740000","RDS_II","document_withholding_rds",1740000,0.342444965586162,NA,NA,NA,85
"RDS_SS_document_withholding_rds_1740000","RDS_SS","document_withholding_rds",1740000,0.342444965586162,NA,NA,NA,85
"RDS_I_pay_issues_rds_50000","RDS_I","pay_issues_rds",50000,0.593007502644539,NA,NA,NA,85
"RDS_II_pay_issues_rds_50000","RDS_II","pay_issues_rds",50000,0.496527013804293,NA,NA,NA,85
"RDS_SS_pay_issues_rds_50000","RDS_SS","pay_issues_rds",50000,0.496527013804293,NA,NA,NA,85
"RDS_I_pay_issues_rds_1e+05","RDS_I","pay_issues_rds",1e+05,0.593007502644539,NA,NA,NA,85
"RDS_II_pay_issues_rds_1e+05","RDS_II","pay_issues_rds",1e+05,0.496527013804293,NA,NA,NA,85
"RDS_SS_pay_issues_rds_1e+05","RDS_SS","pay_issues_rds",1e+05,0.496527013804293,NA,NA,NA,85
"RDS_I_pay_issues_rds_980000","RDS_I","pay_issues_rds",980000,0.593007502644539,NA,NA,NA,85
"RDS_II_pay_issues_rds_980000","RDS_II","pay_issues_rds",980000,0.496527013804293,NA,NA,NA,85
"RDS_SS_pay_issues_rds_980000","RDS_SS","pay_issues_rds",980000,0.496527013804293,NA,NA,NA,85
"RDS_I_pay_issues_rds_1740000","RDS_I","pay_issues_rds",1740000,0.593007502644539,NA,NA,NA,85
"RDS_II_pay_issues_rds_1740000","RDS_II","pay_issues_rds",1740000,0.496527013804293,NA,NA,NA,85
"RDS_SS_pay_issues_rds_1740000","RDS_SS","pay_issues_rds",1740000,0.496527013804293,NA,NA,NA,85
"RDS_I_threats_abuse_rds_50000","RDS_I","threats_abuse_rds",50000,0.652240884240738,NA,NA,NA,85
"RDS_II_threats_abuse_rds_50000","RDS_II","threats_abuse_rds",50000,0.5722487861393,NA,NA,NA,85
"RDS_SS_threats_abuse_rds_50000","RDS_SS","threats_abuse_rds",50000,0.5722487861393,NA,NA,NA,85
"RDS_I_threats_abuse_rds_1e+05","RDS_I","threats_abuse_rds",1e+05,0.652240884240738,NA,NA,NA,85
"RDS_II_threats_abuse_rds_1e+05","RDS_II","threats_abuse_rds",1e+05,0.5722487861393,NA,NA,NA,85
"RDS_SS_threats_abuse_rds_1e+05","RDS_SS","threats_abuse_rds",1e+05,0.5722487861393,NA,NA,NA,85
"RDS_I_threats_abuse_rds_980000","RDS_I","threats_abuse_rds",980000,0.652240884240738,NA,NA,NA,85
"RDS_II_threats_abuse_rds_980000","RDS_II","threats_abuse_rds",980000,0.5722487861393,NA,NA,NA,85
"RDS_SS_threats_abuse_rds_980000","RDS_SS","threats_abuse_rds",980000,0.5722487861393,NA,NA,NA,85
"RDS_I_threats_abuse_rds_1740000","RDS_I","threats_abuse_rds",1740000,0.652240884240738,NA,NA,NA,85
"RDS_II_threats_abuse_rds_1740000","RDS_II","threats_abuse_rds",1740000,0.5722487861393,NA,NA,NA,85
"RDS_SS_threats_abuse_rds_1740000","RDS_SS","threats_abuse_rds",1740000,0.5722487861393,NA,NA,NA,85
"RDS_I_excessive_hours_rds_50000","RDS_I","excessive_hours_rds",50000,0.927528926734306,NA,NA,NA,85
"RDS_II_excessive_hours_rds_50000","RDS_II","excessive_hours_rds",50000,0.837284529663637,NA,NA,NA,85
"RDS_SS_excessive_hours_rds_50000","RDS_SS","excessive_hours_rds",50000,0.837284529663637,NA,NA,NA,85
"RDS_I_excessive_hours_rds_1e+05","RDS_I","excessive_hours_rds",1e+05,0.927528926734306,NA,NA,NA,85
"RDS_II_excessive_hours_rds_1e+05","RDS_II","excessive_hours_rds",1e+05,0.837284529663637,NA,NA,NA,85
"RDS_SS_excessive_hours_rds_1e+05","RDS_SS","excessive_hours_rds",1e+05,0.837284529663637,NA,NA,NA,85
"RDS_I_excessive_hours_rds_980000","RDS_I","excessive_hours_rds",980000,0.927528926734306,NA,NA,NA,85
"RDS_II_excessive_hours_rds_980000","RDS_II","excessive_hours_rds",980000,0.837284529663637,NA,NA,NA,85
"RDS_SS_excessive_hours_rds_980000","RDS_SS","excessive_hours_rds",980000,0.837284529663637,NA,NA,NA,85
