"indicator","method","method_type","population_size","pop_label","seed_selection","estimate","se","ci_lower","ci_upper","uncertainty_method","parameter_type","iterations","M1","M2","convergence_status","combination_id","indicator_clean","method_clean","uncertainty_clean","estimate_pct","ci_lower_pct","ci_upper_pct","se_pct","estimate_with_ci","sensitivity_combo"
"composite_risk","MA_estimates","bayesian",50000,"50K","degree",0.070721963887423,0.625764348539602,6e-05,0.374235651460398,"bayesian_credible_interval","enhanced",3,75,50,"success","composite_risk_50000_degree","Composite risk score","MA.estimates","Bayesian CI",7.0721963887423,0.006,37.4235651460398,62.5764348539602,"7.1% (0.0–37.4)","50K_degree_enhanced"
"composite_risk","MA_estimates","bayesian",50000,"50K","random",0.070721963887423,0.625764348539602,6e-05,0.374235651460398,"bayesian_credible_interval","enhanced",3,75,50,"success","composite_risk_50000_random","Composite risk score","MA.estimates","Bayesian CI",7.0721963887423,0.006,37.4235651460398,62.5764348539602,"7.1% (0.0–37.4)","50K_random_enhanced"
"composite_risk","MA_estimates","bayesian",50000,"50K","sample",0.070721963887423,0.625764348539602,6e-05,0.374235651460398,"bayesian_credible_interval","enhanced",3,75,50,"success","composite_risk_50000_sample","Composite risk score","MA.estimates","Bayesian CI",7.0721963887423,0.006,37.4235651460398,62.5764348539602,"7.1% (0.0–37.4)","50K_sample_enhanced"
"composite_risk","MA_estimates","bayesian",1e+05,"100K","degree",0.0722080026919645,0.615585624101726,3e-05,0.384414375898274,"bayesian_credible_interval","enhanced",3,75,50,"success","composite_risk_100000_degree","Composite risk score","MA.estimates","Bayesian CI",7.22080026919645,0.003,38.4414375898274,61.5585624101726,"7.2% (0.0–38.4)","100K_degree_enhanced"
"composite_risk","MA_estimates","bayesian",1e+05,"100K","random",0.0722080026919645,0.615585624101726,3e-05,0.384414375898274,"bayesian_credible_interval","enhanced",3,75,50,"success","composite_risk_100000_random","Composite risk score","MA.estimates","Bayesian CI",7.22080026919645,0.003,38.4414375898274,61.5585624101726,"7.2% (0.0–38.4)","100K_random_enhanced"
"composite_risk","MA_estimates","bayesian",1e+05,"100K","sample",0.0722080026919645,0.615585624101726,3e-05,0.384414375898274,"bayesian_credible_interval","enhanced",3,75,50,"success","composite_risk_100000_sample","Composite risk score","MA.estimates","Bayesian CI",7.22080026919645,0.003,38.4414375898274,61.5585624101726,"7.2% (0.0–38.4)","100K_sample_enhanced"
"composite_risk","MA_estimates","bayesian",980000,"980K","degree",0.0716292283743229,0.620996516267584,3.06122448979592e-06,0.379003483732416,"bayesian_credible_interval","enhanced",3,75,50,"success","composite_risk_980000_degree","Composite risk score","MA.estimates","Bayesian CI",7.16292283743229,0.000306122448979592,37.9003483732416,62.0996516267584,"7.2% (0.0–37.9)","980K_degree_enhanced"
"composite_risk","MA_estimates","bayesian",980000,"980K","random",0.0716292283743229,0.620996516267584,3.06122448979592e-06,0.379003483732416,"bayesian_credible_interval","enhanced",3,75,50,"success","composite_risk_980000_random","Composite risk score","MA.estimates","Bayesian CI",7.16292283743229,0.000306122448979592,37.9003483732416,62.0996516267584,"7.2% (0.0–37.9)","980K_random_enhanced"
"composite_risk","MA_estimates","bayesian",980000,"980K","sample",0.0716292283743229,0.620996516267584,3.06122448979592e-06,0.379003483732416,"bayesian_credible_interval","enhanced",3,75,50,"success","composite_risk_980000_sample","Composite risk score","MA.estimates","Bayesian CI",7.16292283743229,0.000306122448979592,37.9003483732416,62.0996516267584,"7.2% (0.0–37.9)","980K_sample_enhanced"
"composite_risk","MA_estimates","bayesian",1740000,"1.74M","degree",0.0707360904695903,0.627942610669583,1.72413793103448e-06,0.372057389330417,"bayesian_credible_interval","enhanced",3,75,50,"success","composite_risk_1740000_degree","Composite risk score","MA.estimates","Bayesian CI",7.07360904695903,0.000172413793103448,37.2057389330417,62.7942610669583,"7.1% (0.0–37.2)","1.74M_degree_enhanced"
