"indicator","cluster","population_size","estimate_pct","ci_lower_pct","ci_upper_pct","n_obs","n_trait","convergence","estimate_with_ci"
"document_withholding_rds","Overall",980000,NA,NA,NA,0,NA,"error: 'length = 54' in coercion to 'logical(1)'","Failed"
"document_withholding_rds","Filipino",980000,NA,NA,NA,0,NA,"error: 'length = 54' in coercion to 'logical(1)'","Failed"
"document_withholding_rds","Latinx",980000,NA,NA,NA,0,NA,"error: 'length = 54' in coercion to 'logical(1)'","Failed"
"document_withholding_rds","Other_Combined",980000,NA,NA,NA,0,NA,"error: 'length = 54' in coercion to 'logical(1)'","Failed"
"pay_issues_rds","Overall",980000,NA,NA,NA,0,NA,"error: 'length = 54' in coercion to 'logical(1)'","Failed"
"pay_issues_rds","Filipino",980000,NA,NA,NA,0,NA,"error: 'length = 54' in coercion to 'logical(1)'","Failed"
"pay_issues_rds","Latinx",980000,NA,NA,NA,0,NA,"error: 'length = 54' in coercion to 'logical(1)'","Failed"
"pay_issues_rds","Other_Combined",980000,NA,NA,NA,0,NA,"error: 'length = 54' in coercion to 'logical(1)'","Failed"
"threats_abuse_rds","Overall",980000,NA,NA,NA,0,NA,"error: 'length = 54' in coercion to 'logical(1)'","Failed"
"threats_abuse_rds","Filipino",980000,NA,NA,NA,0,NA,"error: 'length = 54' in coercion to 'logical(1)'","Failed"
"threats_abuse_rds","Latinx",980000,NA,NA,NA,0,NA,"error: 'length = 54' in coercion to 'logical(1)'","Failed"
"threats_abuse_rds","Other_Combined",980000,NA,NA,NA,0,NA,"error: 'length = 54' in coercion to 'logical(1)'","Failed"
"excessive_hours_rds","Overall",980000,NA,NA,NA,0,NA,"error: 'length = 54' in coercion to 'logical(1)'","Failed"
"excessive_hours_rds","Filipino",980000,NA,NA,NA,0,NA,"error: 'length = 54' in coercion to 'logical(1)'","Failed"
"excessive_hours_rds","Latinx",980000,NA,NA,NA,0,NA,"error: 'length = 54' in coercion to 'logical(1)'","Failed"
"excessive_hours_rds","Other_Combined",980000,NA,NA,NA,0,NA,"error: 'length = 54' in coercion to 'logical(1)'","Failed"
"access_to_help_rds","Overall",980000,NA,NA,NA,0,NA,"error: 'length = 54' in coercion to 'logical(1)'","Failed"
"access_to_help_rds","Filipino",980000,NA,NA,NA,0,NA,"error: 'length = 54' in coercion to 'logical(1)'","Failed"
"access_to_help_rds","Latinx",980000,NA,NA,NA,0,NA,"error: 'length = 54' in coercion to 'logical(1)'","Failed"
"access_to_help_rds","Other_Combined",980000,NA,NA,NA,0,NA,"error: 'length = 54' in coercion to 'logical(1)'","Failed"
