"indicator","cluster","population_size","estimate_pct","ci_lower_pct","ci_upper_pct","se_pct","n_obs","n_trait","convergence","estimate_with_ci"
"document_withholding_rds","British",50000,NA,NA,NA,NA,2,NA,"insufficient_data","Not available"
"document_withholding_rds","British",1e+05,NA,NA,NA,NA,2,NA,"insufficient_data","Not available"
"document_withholding_rds","British",980000,NA,NA,NA,NA,2,NA,"insufficient_data","Not available"
"document_withholding_rds","British",1740000,NA,NA,NA,NA,2,NA,"insufficient_data","Not available"
"document_withholding_rds","Filipino",50000,NA,NA,NA,NA,65,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"document_withholding_rds","Filipino",1e+05,NA,NA,NA,NA,65,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"document_withholding_rds","Filipino",980000,NA,NA,NA,NA,65,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"document_withholding_rds","Filipino",1740000,NA,NA,NA,NA,65,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"document_withholding_rds","Latinx",50000,NA,NA,NA,NA,6,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"document_withholding_rds","Latinx",1e+05,NA,NA,NA,NA,6,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"document_withholding_rds","Latinx",980000,NA,NA,NA,NA,6,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"document_withholding_rds","Latinx",1740000,NA,NA,NA,NA,6,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"document_withholding_rds","Other",50000,NA,NA,NA,NA,12,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"document_withholding_rds","Other",1e+05,NA,NA,NA,NA,12,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"document_withholding_rds","Other",980000,NA,NA,NA,NA,12,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"document_withholding_rds","Other",1740000,NA,NA,NA,NA,12,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"pay_issues_rds","British",50000,NA,NA,NA,NA,2,NA,"insufficient_data","Not available"
"pay_issues_rds","British",1e+05,NA,NA,NA,NA,2,NA,"insufficient_data","Not available"
"pay_issues_rds","British",980000,NA,NA,NA,NA,2,NA,"insufficient_data","Not available"
"pay_issues_rds","British",1740000,NA,NA,NA,NA,2,NA,"insufficient_data","Not available"
"pay_issues_rds","Filipino",50000,NA,NA,NA,NA,65,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"pay_issues_rds","Filipino",1e+05,NA,NA,NA,NA,65,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"pay_issues_rds","Filipino",980000,NA,NA,NA,NA,65,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"pay_issues_rds","Filipino",1740000,NA,NA,NA,NA,65,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"pay_issues_rds","Latinx",50000,NA,NA,NA,NA,6,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"pay_issues_rds","Latinx",1e+05,NA,NA,NA,NA,6,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"pay_issues_rds","Latinx",980000,NA,NA,NA,NA,6,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"pay_issues_rds","Latinx",1740000,NA,NA,NA,NA,6,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"pay_issues_rds","Other",50000,NA,NA,NA,NA,12,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"pay_issues_rds","Other",1e+05,NA,NA,NA,NA,12,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"pay_issues_rds","Other",980000,NA,NA,NA,NA,12,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"pay_issues_rds","Other",1740000,NA,NA,NA,NA,12,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"threats_abuse_rds","British",50000,NA,NA,NA,NA,2,NA,"insufficient_data","Not available"
"threats_abuse_rds","British",1e+05,NA,NA,NA,NA,2,NA,"insufficient_data","Not available"
"threats_abuse_rds","British",980000,NA,NA,NA,NA,2,NA,"insufficient_data","Not available"
"threats_abuse_rds","British",1740000,NA,NA,NA,NA,2,NA,"insufficient_data","Not available"
"threats_abuse_rds","Filipino",50000,NA,NA,NA,NA,65,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"threats_abuse_rds","Filipino",1e+05,NA,NA,NA,NA,65,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"threats_abuse_rds","Filipino",980000,NA,NA,NA,NA,65,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"threats_abuse_rds","Filipino",1740000,NA,NA,NA,NA,65,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"threats_abuse_rds","Latinx",50000,NA,NA,NA,NA,6,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
"threats_abuse_rds","Latinx",1e+05,NA,NA,NA,NA,6,NA,"error: unused arguments (mean.prior.degree = mean(degree_seq, na.rm = TRUE), sd.prior.degree = sd(degree_seq, na.rm = TRUE), nsamples = netclust_config$n_bootstrap)","Not available"
