indicator,tau,delta,eta,point_count,point_prevalence,ci_lower_count,ci_upper_count,ci_lower_prev,ci_upper_prev,n_bootstrap,N_F,weight_scheme
document_withholding_nsum,0.4,0.9,1,23501.56843589014,0.023981192281520552,9642.13208382453,59259.82484349125,0.009838910289616868,0.06046920902397067,500,980000,SS
document_withholding_nsum,0.45,0.9,1,20890.28305412457,0.021316615361351602,8275.265213743074,52166.56833988342,0.00844414817728885,0.053231192183554515,500,980000,SS
document_withholding_nsum,0.5,0.9,1,18801.254748712112,0.01918495382521644,8066.864656253543,49635.682518489615,0.008231494547197493,0.05064865563111185,500,980000,SS
document_withholding_nsum,0.55,0.9,1,17092.049771556463,0.017440867113833126,6630.380223436815,41362.114699369005,0.00676569410554777,0.042206239489152045,500,980000,SS
document_withholding_nsum,0.6000000000000001,0.9,1,15667.712290593425,0.0159874615210137,6388.820226239899,41923.51848132364,0.006519204312489693,0.042779100491146575,500,980000,SS
document_withholding_nsum,0.65,0.9,1,14462.50365285547,0.01475765678862803,5536.515205407526,37001.49570546301,0.0056495053116403324,0.03775662827088062,500,980000,SS
document_withholding_nsum,0.7000000000000001,0.9,1,13429.467677651506,0.01370353844658317,5398.069422570577,35539.877803620795,0.005508234104663855,0.03626518143226612,500,980000,SS
document_withholding_nsum,0.75,0.9,1,12534.169832474741,0.01278996921681096,4621.775819336737,31311.529436111246,0.004716097774833406,0.031950540240929845,500,980000,SS
document_withholding_nsum,0.8,0.9,1,11750.78421794507,0.011990596140760276,4506.586958486736,29920.78647498343,0.004598558120904833,0.030531414770391254,500,980000,SS
document_withholding_nsum,0.8500000000000001,0.9,1,11059.561616889476,0.01128526695600967,4373.8109113757,27963.386262642758,0.004463072358546633,0.02853406761494159,500,980000,SS
document_withholding_nsum,0.9,0.9,1,10445.141527062286,0.010658307680675801,4024.5997612746387,28477.79264969474,0.0041067344502802436,0.029058972091525245,500,980000,SS
document_withholding_nsum,0.9500000000000001,0.9,1,9895.397236164268,0.010097344118534968,4113.319979454318,25231.685404396652,0.0041972652851574675,0.02574661775958842,500,980000,SS
document_withholding_nsum,1,0.9,1,9400.627374356056,0.00959247691260822,3606.3862924904524,23787.423923445036,0.0036799860127453596,0.02427288155453575,500,980000,SS
pay_issues_nsum,0.4,0.9,1,60948.55930013799,0.0621924074491204,41915.372083586306,101206.80775146649,0.04277078784039419,0.10327225280761887,500,980000,SS
pay_issues_nsum,0.45,0.9,1,54176.49715567821,0.055282139954773685,37222.35949787228,92531.47035512567,0.037981999487624776,0.0944198677093119,500,980000,SS
pay_issues_nsum,0.5,0.9,1,48758.84744011039,0.04975392595929631,34416.6061646625,83321.53347033254,0.035118985882308676,0.08502197292891076,500,980000,SS
pay_issues_nsum,0.55,0.9,1,44326.224945554895,0.04523084178117846,31001.282918858742,76534.84279396215,0.03163396216210076,0.07809677836118586,500,980000,SS
pay_issues_nsum,0.6000000000000001,0.9,1,40632.372866758655,0.04146160496608026,28720.323972011443,68865.25990013155,0.02930645303266474,0.07027067336748118,500,980000,SS
pay_issues_nsum,0.65,0.9,1,37506.80572316184,0.03827225073792024,26185.510770286313,65160.77675612326,0.02671990894927175,0.06649058852665639,500,980000,SS
pay_issues_nsum,0.7000000000000001,0.9,1,34827.74817150742,0.03553851854235451,24334.58968016205,61715.912020971824,0.024831213959349032,0.06297542042956308,500,980000,SS
pay_issues_nsum,0.75,0.9,1,32505.898293406924,0.03316928397286421,23136.279429620357,55854.170811222866,0.023608448397571792,0.0569940518481866,500,980000,SS
pay_issues_nsum,0.8,0.9,1,30474.279650068995,0.0310962037245602,21552.062976946603,54765.125873265366,0.02199190099688429,0.05588278150333201,500,980000,SS
pay_issues_nsum,0.8500000000000001,0.9,1,28681.674964770813,0.0292670152701743,20004.699990429443,53182.38992901353,0.020412959173907595,0.05426774482552401,500,980000,SS
pay_issues_nsum,0.9,0.9,1,27088.248577839106,0.027641069977386842,19172.66514356694,45492.30961583882,0.0195639440240479,0.04642072409779471,500,980000,SS
pay_issues_nsum,0.9500000000000001,0.9,1,25662.551284268626,0.02618627682068227,17607.809128678353,43980.73884368726,0.01796715217212077,0.04487830494253802,500,980000,SS
pay_issues_nsum,1,0.9,1,24379.423720055194,0.024876962979648157,17201.10486370397,42040.04496207982,0.017552147820106095,0.042898005063346754,500,980000,SS
threats_abuse_nsum,0.4,0.9,1,56929.375374120726,0.05809119936134768,40108.87161211116,98670.82396746453,0.04092742001235832,0.10068451425251483,500,980000,SS
threats_abuse_nsum,0.45,0.9,1,50603.88922144065,0.05163662165453128,34916.46239642019,85178.50575665782,0.035629043261653254,0.0869168426088345,500,980000,SS
threats_abuse_nsum,0.5,0.9,1,45543.50029929658,0.04647295948907815,31564.23732963964,78026.17049033988,0.0322084054384078,0.07961854131667334,500,980000,SS
threats_abuse_nsum,0.55,0.9,1,41403.18209026962,0.04224814499007104,28994.63769023164,70472.94856365415,0.029586364990032286,0.07191117200372872,500,980000,SS
