"indicator","pop_size","pop_label","method","method_type","estimate","se","ci_lower","ci_upper","uncertainty_method","convergence_info","error_msg","indicator_clean","method_clean","uncertainty_clean","estimate_pct","ci_lower_pct","ci_upper_pct","se_pct","estimate_with_ci"
"document_withholding_rds",50000,"50K","posteriorsize","bayesian",0.342444965586162,0.0236534080583255,0.296084285791844,0.38880564538048,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Geweke convergence failed for: beta_0, beta_u; Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Document withholding","posteriorsize()","Bayesian CI",34.2444965586162,29.6084285791844,38.880564538048,2.36534080583255,"34.2% (29.6–38.9)"
"document_withholding_rds",1e+05,"100K","posteriorsize","bayesian",0.342444965586162,0.0242218094193951,0.294970219124148,0.389919712048177,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Document withholding","posteriorsize()","Bayesian CI",34.2444965586162,29.4970219124148,38.9919712048177,2.42218094193951,"34.2% (29.5–39.0)"
"document_withholding_rds",980000,"980K","posteriorsize","bayesian",0.342444965586162,0.0235606456835323,0.296266100046439,0.388623831125886,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Geweke convergence failed for: beta_0, beta_u; Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Document withholding","posteriorsize()","Bayesian CI",34.2444965586162,29.6266100046439,38.8623831125886,2.35606456835323,"34.2% (29.6–38.9)"
"document_withholding_rds",1740000,"1.74M","posteriorsize","bayesian",0.342444965586162,0.0239044271716601,0.295592288329709,0.389297642842616,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Document withholding","posteriorsize()","Bayesian CI",34.2444965586162,29.5592288329709,38.9297642842616,2.39044271716601,"34.2% (29.6–38.9)"
"pay_issues_rds",50000,"50K","posteriorsize","bayesian",0.496527013804293,0.0342961855181361,0.429306490188746,0.56374753741984,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Geweke convergence failed for: beta_0, beta_u; Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Pay-related issues","posteriorsize()","Bayesian CI",49.6527013804293,42.9306490188746,56.374753741984,3.42961855181361,"49.7% (42.9–56.4)"
"pay_issues_rds",1e+05,"100K","posteriorsize","bayesian",0.496527013804293,0.0351203373054784,0.427691152685555,0.56536287492303,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Pay-related issues","posteriorsize()","Bayesian CI",49.6527013804293,42.7691152685555,56.536287492303,3.51203373054784,"49.7% (42.8–56.5)"
"pay_issues_rds",980000,"980K","posteriorsize","bayesian",0.496527013804293,0.0341616850010367,0.429570111202261,0.563483916406325,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Geweke convergence failed for: beta_0, beta_u; Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Pay-related issues","posteriorsize()","Bayesian CI",49.6527013804293,42.9570111202261,56.3483916406325,3.41616850010367,"49.7% (43.0–56.3)"
"pay_issues_rds",1740000,"1.74M","posteriorsize","bayesian",0.496527013804293,0.0346601499015472,0.42859311999726,0.564460907611325,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Pay-related issues","posteriorsize()","Bayesian CI",49.6527013804293,42.859311999726,56.4460907611325,3.46601499015472,"49.7% (42.9–56.4)"
"threats_abuse_rds",50000,"50K","posteriorsize","bayesian",0.5722487861393,0.0395264506992105,0.494776942768847,0.649720629509753,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Geweke convergence failed for: beta_0, beta_u; Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Threats and abuse","posteriorsize()","Bayesian CI",57.22487861393,49.4776942768847,64.9720629509753,3.95264506992105,"57.2% (49.5–65.0)"
"threats_abuse_rds",1e+05,"100K","posteriorsize","bayesian",0.5722487861393,0.0404762879624194,0.492915261732958,0.651582310545642,"bayesian_credible_interval","⚠ Convergence issues: Low effective sample size (< 400); Halfwidth test failed for: beta_0, beta_t, beta_u",NA,"Threats and abuse","posteriorsize()","Bayesian CI",57.22487861393,49.2915261732958,65.1582310545642,4.04762879624194,"57.2% (49.3–65.2)"
