"indicator","pop_size","pop_label","method","method_type","estimate","se","ci_lower","ci_upper","uncertainty_method","convergence_info","error_msg","indicator_clean","method_clean","uncertainty_clean","estimate_pct","ci_lower_pct","ci_upper_pct","se_pct","estimate_with_ci"
"document_withholding_rds",50000,"50K","RDS_I","frequentist",0.494048070335575,NA,NA,NA,"asymptotic","No info",NA,"Document withholding","RDS-I","Asymptotic",49.4048070335575,NA,NA,NA,"49.4% (CI not available)"
"document_withholding_rds",1e+05,"100K","RDS_I","frequentist",0.494048070335575,NA,NA,NA,"asymptotic","No info",NA,"Document withholding","RDS-I","Asymptotic",49.4048070335575,NA,NA,NA,"49.4% (CI not available)"
"document_withholding_rds",980000,"980K","RDS_I","frequentist",0.494048070335575,NA,NA,NA,"asymptotic","No info",NA,"Document withholding","RDS-I","Asymptotic",49.4048070335575,NA,NA,NA,"49.4% (CI not available)"
"document_withholding_rds",1740000,"1.74M","RDS_I","frequentist",0.494048070335575,NA,NA,NA,"asymptotic","No info",NA,"Document withholding","RDS-I","Asymptotic",49.4048070335575,NA,NA,NA,"49.4% (CI not available)"
"pay_issues_rds",50000,"50K","RDS_I","frequentist",0.593007502644538,NA,NA,NA,"asymptotic","No info",NA,"Pay-related issues","RDS-I","Asymptotic",59.3007502644538,NA,NA,NA,"59.3% (CI not available)"
"pay_issues_rds",1e+05,"100K","RDS_I","frequentist",0.593007502644538,NA,NA,NA,"asymptotic","No info",NA,"Pay-related issues","RDS-I","Asymptotic",59.3007502644538,NA,NA,NA,"59.3% (CI not available)"
"pay_issues_rds",980000,"980K","RDS_I","frequentist",0.593007502644538,NA,NA,NA,"asymptotic","No info",NA,"Pay-related issues","RDS-I","Asymptotic",59.3007502644538,NA,NA,NA,"59.3% (CI not available)"
"pay_issues_rds",1740000,"1.74M","RDS_I","frequentist",0.593007502644538,NA,NA,NA,"asymptotic","No info",NA,"Pay-related issues","RDS-I","Asymptotic",59.3007502644538,NA,NA,NA,"59.3% (CI not available)"
"threats_abuse_rds",50000,"50K","RDS_I","frequentist",0.652240884240738,NA,NA,NA,"asymptotic","No info",NA,"Threats and abuse","RDS-I","Asymptotic",65.2240884240738,NA,NA,NA,"65.2% (CI not available)"
"threats_abuse_rds",1e+05,"100K","RDS_I","frequentist",0.652240884240738,NA,NA,NA,"asymptotic","No info",NA,"Threats and abuse","RDS-I","Asymptotic",65.2240884240738,NA,NA,NA,"65.2% (CI not available)"
"threats_abuse_rds",980000,"980K","RDS_I","frequentist",0.652240884240738,NA,NA,NA,"asymptotic","No info",NA,"Threats and abuse","RDS-I","Asymptotic",65.2240884240738,NA,NA,NA,"65.2% (CI not available)"
"threats_abuse_rds",1740000,"1.74M","RDS_I","frequentist",0.652240884240738,NA,NA,NA,"asymptotic","No info",NA,"Threats and abuse","RDS-I","Asymptotic",65.2240884240738,NA,NA,NA,"65.2% (CI not available)"
"excessive_hours_rds",50000,"50K","RDS_I","frequentist",0.927528926734306,NA,NA,NA,"asymptotic","No info",NA,"Excessive working hours","RDS-I","Asymptotic",92.7528926734306,NA,NA,NA,"92.8% (CI not available)"
"excessive_hours_rds",1e+05,"100K","RDS_I","frequentist",0.927528926734306,NA,NA,NA,"asymptotic","No info",NA,"Excessive working hours","RDS-I","Asymptotic",92.7528926734306,NA,NA,NA,"92.8% (CI not available)"
"excessive_hours_rds",980000,"980K","RDS_I","frequentist",0.927528926734306,NA,NA,NA,"asymptotic","No info",NA,"Excessive working hours","RDS-I","Asymptotic",92.7528926734306,NA,NA,NA,"92.8% (CI not available)"
"excessive_hours_rds",1740000,"1.74M","RDS_I","frequentist",0.927528926734306,NA,NA,NA,"asymptotic","No info",NA,"Excessive working hours","RDS-I","Asymptotic",92.7528926734306,NA,NA,NA,"92.8% (CI not available)"
"access_to_help_rds",50000,"50K","RDS_I","frequentist",0.577340378591833,NA,NA,NA,"asymptotic","No info",NA,"Limited access to help","RDS-I","Asymptotic",57.7340378591833,NA,NA,NA,"57.7% (CI not available)"
"access_to_help_rds",1e+05,"100K","RDS_I","frequentist",0.577340378591833,NA,NA,NA,"asymptotic","No info",NA,"Limited access to help","RDS-I","Asymptotic",57.7340378591833,NA,NA,NA,"57.7% (CI not available)"
"access_to_help_rds",980000,"980K","RDS_I","frequentist",0.577340378591833,NA,NA,NA,"asymptotic","No info",NA,"Limited access to help","RDS-I","Asymptotic",57.7340378591833,NA,NA,NA,"57.7% (CI not available)"
"access_to_help_rds",1740000,"1.74M","RDS_I","frequentist",0.577340378591833,NA,NA,NA,"asymptotic","No info",NA,"Limited access to help","RDS-I","Asymptotic",57.7340378591833,NA,NA,NA,"57.7% (CI not available)"
"composite_risk",50000,"50K","RDS_I","frequentist",0.397894989053748,NA,NA,NA,"asymptotic","No info",NA,"Composite risk score","RDS-I","Asymptotic",39.7894989053748,NA,NA,NA,"39.8% (CI not available)"
"composite_risk",1e+05,"100K","RDS_I","frequentist",0.397894989053748,NA,NA,NA,"asymptotic","No info",NA,"Composite risk score","RDS-I","Asymptotic",39.7894989053748,NA,NA,NA,"39.8% (CI not available)"
