"indicator","pop_size","pop_label","method","method_type","estimate","se","ci_lower","ci_upper","uncertainty_method","convergence_info","error_msg","indicator_clean","method_clean","uncertainty_clean","estimate_pct","ci_lower_pct","ci_upper_pct","se_pct","estimate_with_ci"
"document_withholding_rds",980000,"980K","RDS_II","frequentist",0.342444965586162,0.0787186738239671,0.256718499040564,0.563838110654242,"neighb_bootstrap","No info",NA,"Document withholding","RDS-II","Neighboot",34.2444965586162,25.6718499040564,56.3838110654242,7.87186738239671,"34.2% (25.7–56.4)"
"document_withholding_rds",980000,"980K","RDS-II","frequentist",0.342444965586162,NA,NA,NA,"Salganik_bootstrap","No info",NA,"Document withholding","RDS-II","Salganik_bootstrap",34.2444965586162,NA,NA,NA,"34.2% (CI not available)"
"document_withholding_rds",980000,"980K","RDS-II","frequentist",0.342444965586162,NA,NA,NA,"SRS_bootstrap","No info",NA,"Document withholding","RDS-II","SRS_bootstrap",34.2444965586162,NA,NA,NA,"34.2% (CI not available)"
"pay_issues_rds",980000,"980K","RDS_II","frequentist",0.496527013804293,0.0752510827624628,0.343286238136573,0.63944242941158,"neighb_bootstrap","No info",NA,"Pay-related issues","RDS-II","Neighboot",49.6527013804293,34.3286238136573,63.944242941158,7.52510827624628,"49.7% (34.3–63.9)"
"pay_issues_rds",980000,"980K","RDS-II","frequentist",0.496527013804293,NA,NA,NA,"Salganik_bootstrap","No info",NA,"Pay-related issues","RDS-II","Salganik_bootstrap",49.6527013804293,NA,NA,NA,"49.7% (CI not available)"
"pay_issues_rds",980000,"980K","RDS-II","frequentist",0.496527013804293,NA,NA,NA,"SRS_bootstrap","No info",NA,"Pay-related issues","RDS-II","SRS_bootstrap",49.6527013804293,NA,NA,NA,"49.7% (CI not available)"
"threats_abuse_rds",980000,"980K","RDS_II","frequentist",0.572248786139299,0.0804877105626166,0.405899803473914,0.721495863126542,"neighb_bootstrap","No info",NA,"Threats and abuse","RDS-II","Neighboot",57.2248786139299,40.5899803473914,72.1495863126542,8.04877105626166,"57.2% (40.6–72.1)"
"threats_abuse_rds",980000,"980K","RDS-II","frequentist",0.572248786139299,NA,NA,NA,"Salganik_bootstrap","No info",NA,"Threats and abuse","RDS-II","Salganik_bootstrap",57.2248786139299,NA,NA,NA,"57.2% (CI not available)"
"threats_abuse_rds",980000,"980K","RDS-II","frequentist",0.572248786139299,NA,NA,NA,"SRS_bootstrap","No info",NA,"Threats and abuse","RDS-II","SRS_bootstrap",57.2248786139299,NA,NA,NA,"57.2% (CI not available)"
"excessive_hours_rds",980000,"980K","RDS_II","frequentist",0.837284529663637,0.0554340027148285,0.714366730768373,0.928171010419823,"neighb_bootstrap","No info",NA,"Excessive working hours","RDS-II","Neighboot",83.7284529663637,71.4366730768373,92.8171010419823,5.54340027148285,"83.7% (71.4–92.8)"
"excessive_hours_rds",980000,"980K","RDS-II","frequentist",0.837284529663637,NA,NA,NA,"Salganik_bootstrap","No info",NA,"Excessive working hours","RDS-II","Salganik_bootstrap",83.7284529663637,NA,NA,NA,"83.7% (CI not available)"
"excessive_hours_rds",980000,"980K","RDS-II","frequentist",0.837284529663637,NA,NA,NA,"SRS_bootstrap","No info",NA,"Excessive working hours","RDS-II","SRS_bootstrap",83.7284529663637,NA,NA,NA,"83.7% (CI not available)"
"access_to_help_rds",980000,"980K","RDS_II","frequentist",0.593632888454802,0.0644829553164145,0.548928700088762,0.801140378054662,"neighb_bootstrap","No info",NA,"Limited access to help","RDS-II","Neighboot",59.3632888454802,54.8928700088762,80.1140378054662,6.44829553164145,"59.4% (54.9–80.1)"
"access_to_help_rds",980000,"980K","RDS-II","frequentist",0.593632888454802,NA,NA,NA,"Salganik_bootstrap","No info",NA,"Limited access to help","RDS-II","Salganik_bootstrap",59.3632888454802,NA,NA,NA,"59.4% (CI not available)"
"access_to_help_rds",980000,"980K","RDS-II","frequentist",0.593632888454802,NA,NA,NA,"SRS_bootstrap","No info",NA,"Limited access to help","RDS-II","SRS_bootstrap",59.3632888454802,NA,NA,NA,"59.4% (CI not available)"
"composite_risk",980000,"980K","RDS_II","frequentist",0.369097054893395,0.0287243367260304,0.327070421222243,0.44070796036411,"neighb_bootstrap","No info",NA,"Composite risk score","RDS-II","Neighboot",36.9097054893395,32.7070421222243,44.070796036411,2.87243367260304,"36.9% (32.7–44.1)"
"composite_risk",980000,"980K","RDS-II","frequentist",0.369097054893395,NA,NA,NA,"Salganik_bootstrap","No info",NA,"Composite risk score","RDS-II","Salganik_bootstrap",36.9097054893395,NA,NA,NA,"36.9% (CI not available)"
"composite_risk",980000,"980K","RDS-II","frequentist",0.369097054893395,NA,NA,NA,"SRS_bootstrap","No info",NA,"Composite risk score","RDS-II","SRS_bootstrap",36.9097054893395,NA,NA,NA,"36.9% (CI not available)"
"whether_exploitation",980000,"980K","RDS_II","frequentist",0.972452234141699,0.00327282405503392,0.988939433010327,1,"neighb_bootstrap","No info",NA,"Overall exploitation indicator","RDS-II","Neighboot",97.2452234141699,98.8939433010327,100,0.327282405503392,"97.2% (98.9–100.0)"
"whether_exploitation",980000,"980K","RDS-II","frequentist",0.972452234141699,NA,NA,NA,"Salganik_bootstrap","No info",NA,"Overall exploitation indicator","RDS-II","Salganik_bootstrap",97.2452234141699,NA,NA,NA,"97.2% (CI not available)"
"whether_exploitation",980000,"980K","RDS-II","frequentist",0.972452234141699,NA,NA,NA,"SRS_bootstrap","No info",NA,"Overall exploitation indicator","RDS-II","SRS_bootstrap",97.2452234141699,NA,NA,NA,"97.2% (CI not available)"
